"source","pagePath","visits"
"google","/diplomaengineeringcollege/government-polytechnic-bhuj-",1
"google","/diplomaengineeringcollege/government-polytechnic-chhotaudepur-",1
"google","/architecture-college/grow-more-school-of-architecture",1
"google","/architecture-colleges-list",1
"google","/bindingcollegedetails.php",1
"google","/bindingmba.php",1
"google","/me-mtech-colleges-list",1
"google","/me-mtech-colleges",1
"google","/MBA-MCA/kalol-institute-of-management-mca-programme-",1
"google","/me-mtech/gandhinagar-institue-of-technology-moti-bhoyan",1
"google","/medicalintake/k-k-sheth-physiotherapy-college-rajkot",1
"google","/engineeringcollege/shri-satsangi-saketdham-ram-ashram-group-of-institutions-vadasma",1
"google","/MBA-MCA/sardar-patel-college-of-administration-management-spcam-mba-sfi-bakrol-anand",1
"google","/d2dpharmacy/sharda-school-of-pharmacy-pethapur",1
"google","/medicalcollege/shree-babubhai-girdharbhai-patel-physiotherapy-college-anand",1
"google","/d2dpharmacy/shree-mukundlal-vithaldas-shah-pharmacy-college-gajan-sabarkantha",1
"google","/MBA-MCA/shree-samanvay-institute-of-business-administration-sfi-botad-bhavnagar-",1
"google","/diplomaengineeringcollege/shri-n-m-gopani-polytechnic-institute",1
"google","/medicalcollege/shri-saraswati-b-sc-nursing-college-rajkot",1
"google","/engineeringcollege/takshashila-college-of-engineering-technology-rajkot",1
"google","/diplomaengineeringcollege/valia-polytechnic-college",1
"(direct)","/",12
"(direct)","/index.php",1
"(direct)","/~gtuadmis/",1
"(direct)","/admission/",1
"google","/d2dpharmacy/ambaji-pharmacy-college-satlasana",1
"google","/diplomaengineeringcollege/christ-polytechnic-institute-rajkot-",1
"google","/medical-colleges-list",1
"google","/",20
"google","/diplomaengineeringcollege/government-polytechnic-vadnagar",1
"google","/diplomaengineeringcollege/government-polytechnic-bhuj-",1
"google","/MBA-MCA-intake/laxmi-institute-of-computer-application-sarigam",2
"google","/merit-calculator",2
"google","/newmecollege.php",3
"google","/d2dpharmacy/shree-samanvay-institute-of-pharmaceutical-education-and-research",1
"google","/d2dpharmacy/smt-r-b-patel-mahila-pharmacy-college-atkot-dist-rajkot-for-girls-",1
"google","/diplomaengineeringcollege/swami-sachchidanand-polytechnic-college-visnagar",1
"google","/search1.php",1
"google","/pharmacycollege/vidhyadeep-college-of-pharmacy-surat-",1
"in.mc655.mail.yahoo.com","/",1
"infinitecourses.com","/",1
"(direct)","/",2
"(direct)","/merit-calculator",1
"(direct)","/d2dcollege/vidhyabharti-trust-inst-of-tech-research-center-umrakh",1
"conduit","/d2d-engineering-colleges-list",1
"google","/diploma-colleges-list",2
"google","/",10
"google","/gujarat-mca-colleges-list",1
"google","/bindingmecollege.php",1
"google","/me-mtech-colleges-list",1
"google","/gujarat-me-mtech-college",1
"google","/me-mtech/sardar-vallabhbhai-patel-institute-of-technology-svit-vasad",1
"google","/diplomaengineeringcollege/shree-hari-polytechnic-institute-nani-kadi-",1
"google","/engineeringcollege/takshashila-college-of-engineering-technology-rajkot",1
"google","/MBA-MCA/veerayatan-group-of-institutions-faculty-of-engineering-faculty-of-management-sfi-",1
"google","/d2dcollege/venus-international-college-of-technology",1
"it-gujrat.blogspot.in","/",1
"search.alot.com","/",1
"search.clinck.in","/",1
"(direct)","/",5
"36ohk6dgmcd1n-c.c.yom.mail.yahoo.net","/",1
"facebook.com","/",1
"google","/engineeringcollege/arun-munchhala-engineering-college-amreli-",2
"google","/diplomaengineeringcollege/d-a-diploma-engineering-technology-mahemdavad-",1
"google","/architecture-college/faculty-of-architecture-b-arch-cept-university",1
"google","/gujarat-diploma-pharmacy-college-list",1
"google","/",27
"google","/d2d-engineering-colleges-list",1
"google","/me-mtech-colleges",1
"google","/new_mba_college_list.php",1
"google","/diplomaengineeringcollege/jayvantrai-harrai-desai-polytechnic",1
"google","/MBA-MCA/l-j-institute-of-engineering-technology",1
"google","/d2dcollege/mahatma-gandhi-ins-of-technichal-education-research-center-navsari-",1
"google","/newmecollege.php",1
"google","/diplomaengineeringcollege/om-institute-of-engineering-technology-junagadh-",1
"home.speedbit.com","/",1
"m.facebook.com","/",1
"(direct)","/diploma-admission-possibilities",1
"(direct)","/engineering-admission-possibilities",2
"(direct)","/",3
"(direct)","/index.php",2
"(direct)","/pharmacyintake/tolani-institute-of-pharmacy-adipur-kachchh-",1
"ask","/MBA-MCA/anand-institute-of-of-information-science",1
